time,temp,hum,pluv,sol
10052,24.78,49.95,24.98,10.46
10257,24.78,49.95,24.98,10.46
10462,24.78,49.95,24.98,10.46
10667,24.78,49.95,24.98,10.46
10872,24.78,49.95,24.98,10.46
11077,24.78,49.95,24.98,10.46
11282,24.78,49.95,24.98,10.46
11487,24.78,49.95,24.98,10.46
11693,24.78,49.95,24.98,10.46
11897,24.78,49.95,24.98,10.46
12102,24.78,49.95,24.98,10.46
12307,24.78,49.95,24.98,10.46
12513,24.78,49.95,24.98,10.46
12718,24.78,49.95,24.98,10.46
12922,24.78,49.95,24.98,10.46
13128,24.78,49.95,24.98,10.46
13333,24.78,49.95,24.98,10.46
13538,24.78,49.95,24.98,10.46
13743,24.78,49.95,24.98,10.46
13948,24.78,49.95,24.98,10.46
14153,24.78,49.95,24.98,10.46
14358,24.78,49.95,24.98,10.46
14563,24.78,49.95,24.98,10.46
14769,24.78,49.95,24.98,10.46
14973,24.78,49.95,24.98,10.46
15178,24.78,49.95,24.98,10.46
15383,24.78,49.95,24.98,10.46
15589,24.78,49.95,24.98,10.46
15794,24.78,49.95,24.98,10.46
15998,24.78,49.95,24.98,10.46
16204,24.78,49.95,24.98,10.46
